txn_id,account_number,txn_date,amount,txn_type,txn_status
T101,A107,2025-01-15,1186.17,withdraw,cleared
T102,A105,2025-01-19,-1375.93,payment,pending
T103,A108,2025-01-08,-665.17,transfer,cleared
T104,A105,2025-01-12,1879.64,withdraw,cleared
T105,A105,2025-01-26,469.93,withdraw,pending
T106,A109,2025-01-27,-835.08,payment,pending
T107,A103,2025-01-20,-470.15,transfer,cleared
T108,A105,2025-01-21,430.18,deposit,pending
T109,A104,2025-01-14,1768.81,withdraw,cleared
T110,A110,2025-01-20,-1609.31,transfer,cleared
T111,A107,2025-01-08,439.99,payment,pending
T112,A101,2025-01-08,-964.88,transfer,cleared
T113,A106,2025-01-04,-1168.23,withdraw,pending
T114,A102,2025-01-02,1100.53,withdraw,cleared
T115,A108,2025-01-28,281.78,deposit,reversed
T116,A105,2025-01-18,-445.29,payment,cleared
T117,A110,2025-01-28,1861.02,transfer,cleared
T118,A101,2025-01-09,-1937.45,transfer,cleared
T119,A108,2025-01-11,-1977.91,payment,cleared
T120,A103,2025-01-27,1160.7,deposit,reversed
